bike_age,kms_clipped,power_bhp_clipped,mileage_kmpl_clipped,cc,owner_first,owner_fourth_or_more,owner_second,owner_third,brand_Bajaj,brand_Benelli,brand_Harley-Davidson,brand_Hero,brand_Honda,brand_Hyosung,brand_Jawa,brand_Kawasaki,brand_Ktm,brand_Other,brand_Royal,brand_Suzuki,brand_Triumph,brand_Tvs,brand_Um,brand_Yamaha,price
12,35.0,23.19,35.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,47000
5,450.0,33.0,22.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,263000
9,35.0,24.5,35.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85000
6,4930.0,27.0,,295.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,140000
7,45.0,17.3,45.0,180.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,58000
14,35000.0,14.256,65.0,150.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,25000
11,15000.0,7.4,95.0,100.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,36000
11,17700.0,8.2,5.0,100.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,38000
9,21000.0,21.0,38.0,220.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58200
6,11500.0,14.3,,125.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,124500
6,40.0,20.23,40.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,90000
10,58.0,13.0,58.0,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,46000
5,8019.0,14.79,53.72,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85000
5,930.0,42.3,26.0,390.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,290000
10,46740.0,21.0,38.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40000
6,12000.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,170000
5,13000.0,29.6,,250.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,199999
